H1,H2,H3,Syntax,Description,Doc,Method,Endpoint
Account Management,Account,Deletecollection,pvw account deleteCollection --collectionName=<val>,Delete account.,https://docs.microsoft.com/en-us/rest/api/purview/accounts/deletecollection,DELETE,https://{accountName}.purview.azure.com/account/api/deleteCollection
Account Management,Account,Deleteresourcesetrule,pvw account deleteResourceSetRule,Delete account.,https://docs.microsoft.com/en-us/rest/api/purview/accounts/deleteresourcesetrule,DELETE,https://{accountName}.purview.azure.com/account/api/deleteResourceSetRule
Account Management,Account,Getaccesskeys,pvw account getAccessKeys,Get account.,https://docs.microsoft.com/en-us/rest/api/purview/accounts/getaccesskeys,GET,https://{accountName}.purview.azure.com/account/api/getAccessKeys
Account Management,Account,Getaccount,pvw account getAccount,Get account.,https://docs.microsoft.com/en-us/rest/api/purview/accounts/getaccount,GET,https://{accountName}.purview.azure.com/account/api/getAccount
Account Management,Account,Getchildcollectionnames,pvw account getChildCollectionNames --collectionName=<val>,Get account.,https://docs.microsoft.com/en-us/rest/api/purview/accounts/getchildcollectionnames,GET,https://{accountName}.purview.azure.com/account/api/getChildCollectionNames
Account Management,Account,Getcollection,pvw account getCollection --collectionName=<val>,Get account.,https://docs.microsoft.com/en-us/rest/api/purview/accounts/getcollection,GET,https://{accountName}.purview.azure.com/account/api/getCollection
Account Management,Account,Getcollectionpath,pvw account getCollectionPath --collectionName=<val>,Get account.,https://docs.microsoft.com/en-us/rest/api/purview/accounts/getcollectionpath,GET,https://{accountName}.purview.azure.com/account/api/getCollectionPath
Account Management,Account,Getcollections,pvw account getCollections,Get account.,https://docs.microsoft.com/en-us/rest/api/purview/accounts/getcollections,GET,https://{accountName}.purview.azure.com/account/api/getCollections
Account Management,Account,Getresourcesetrule,pvw account getResourceSetRule,Get account.,https://docs.microsoft.com/en-us/rest/api/purview/accounts/getresourcesetrule,GET,https://{accountName}.purview.azure.com/account/api/getResourceSetRule
Account Management,Account,Getresourcesetrules,pvw account getResourceSetRules,Get account.,https://docs.microsoft.com/en-us/rest/api/purview/accounts/getresourcesetrules,GET,https://{accountName}.purview.azure.com/account/api/getResourceSetRules
Account Management,Account,Putcollection,pvw account putCollection --friendlyName=<val> --parentCollection=<val>,Create or update account.,https://docs.microsoft.com/en-us/rest/api/purview/accounts/putcollection,PUT,https://{accountName}.purview.azure.com/account/api/putCollection
Account Management,Account,Putresourcesetrule,pvw account putResourceSetRule --payloadFile=<val>,Create or update account.,https://docs.microsoft.com/en-us/rest/api/purview/accounts/putresourcesetrule,PUT,https://{accountName}.purview.azure.com/account/api/putResourceSetRule
Account Management,Account,Regenerateaccesskeys,pvw account regenerateAccessKeys --keyType=<val>,Regenerate account.,https://docs.microsoft.com/en-us/rest/api/purview/accounts/regenerateaccesskeys,POST,https://{accountName}.purview.azure.com/account/api/regenerateAccessKeys
Account Management,Account,Updateaccount,pvw account updateAccount --friendlyName=<val>,Update an existing account.,https://docs.microsoft.com/en-us/rest/api/purview/accounts/updateaccount,PUT,https://{accountName}.purview.azure.com/account/api/updateAccount
Catalog Data Plane,Entity,Addlabels,pvw entity addLabels --guid=<val> --payloadFile=<val>,Add Labels for entity.,https://docs.microsoft.com/en-us/rest/api/purview/catalogdataplane/entity/addlabels,POST,https://{accountName}.purview.azure.com/catalog/api/atlas/v2/entity/labels
Catalog Data Plane,Entity,Addlabelsbyuniqueattribute,pvw entity addLabelsByUniqueAttribute --typeName=<val> --qualifiedName=<val> --payloadFile=<val>,Add LabelsByUniqueAttribute for entity.,https://docs.microsoft.com/en-us/rest/api/purview/catalogdataplane/entity/addlabelsbyuniqueattribute,POST,https://{accountName}.purview.azure.com/catalog/api/atlas/v2/entity/uniqueAttribute
Catalog Data Plane,Entity,Addorupdatebusinessattribute,pvw entity addOrUpdateBusinessAttribute --guid=<val> --bmName=<val> --payloadFile=<val>,Add OrUpdateBusinessAttribute for entity.,https://docs.microsoft.com/en-us/rest/api/purview/catalogdataplane/entity/addorupdatebusinessattribute,POST,https://{accountName}.purview.azure.com/catalog/api/atlas/v2/entity/addOrUpdateBusinessAttribute
Catalog Data Plane,Entity,Addorupdatebusinessmetadata,pvw entity addOrUpdateBusinessMetadata --guid=<val> --payloadFile=<val> [--isOverwrite],Add OrUpdateBusinessMetadata for entity.,https://docs.microsoft.com/en-us/rest/api/purview/catalogdataplane/entity/addorupdatebusinessmetadata,POST,https://{accountName}.purview.azure.com/catalog/api/atlas/v2/entity/businessmetadata
Catalog Data Plane,Entity,Changecollection,pvw entity changeCollection --collection=<val> --payloadFile=<val>,Perform operation on entity.,https://docs.microsoft.com/en-us/rest/api/purview/catalogdataplane/entity/changecollection,GET,https://{accountName}.purview.azure.com/catalog/api/atlas/v2/entity/changeCollection
Catalog Data Plane,Entity,Create,pvw entity create --payloadFile=<val>,Create a new entity.,https://docs.microsoft.com/en-us/rest/api/purview/catalogdataplane/entity/create,POST,https://{accountName}.purview.azure.com/catalog/api/atlas/v2/entity/create
Catalog Data Plane,Entity,Createbulk,pvw entity createBulk --payloadFile=<val>,Create a new entity.,https://docs.microsoft.com/en-us/rest/api/purview/catalogdataplane/entity/createbulk,POST,https://{accountName}.purview.azure.com/catalog/api/atlas/v2/entity/bulk
Catalog Data Plane,Entity,Createbulkclassification,pvw entity createBulkClassification --payloadFile=<val>,Create a new entity.,https://docs.microsoft.com/en-us/rest/api/purview/catalogdataplane/entity/createbulkclassification,POST,https://{accountName}.purview.azure.com/catalog/api/atlas/v2/entity/bulk
Catalog Data Plane,Entity,Createbulksetclassifications,pvw entity createBulkSetClassifications --payloadFile=<val>,Create a new entity.,https://docs.microsoft.com/en-us/rest/api/purview/catalogdataplane/entity/createbulksetclassifications,POST,https://{accountName}.purview.azure.com/catalog/api/atlas/v2/entity/bulk
Catalog Data Plane,Entity,Createclassifications,pvw entity createClassifications --guid=<val> --payloadFile=<val>,Create a new entity.,https://docs.microsoft.com/en-us/rest/api/purview/catalogdataplane/entity/createclassifications,POST,https://{accountName}.purview.azure.com/catalog/api/atlas/v2/entity/classification
Catalog Data Plane,Entity,Createorupdatecollection,pvw entity createOrUpdateCollection --collection=<val> --payloadFile=<val>,Create a new entity.,https://docs.microsoft.com/en-us/rest/api/purview/catalogdataplane/entity/createorupdatecollection,POST,https://{accountName}.purview.azure.com/catalog/api/atlas/v2/entity/createOrUpdateCollection
Catalog Data Plane,Entity,Createorupdatecollectionbulk,pvw entity createOrUpdateCollectionBulk --collection=<val> --payloadFile=<val>,Create a new entity.,https://docs.microsoft.com/en-us/rest/api/purview/catalogdataplane/entity/createorupdatecollectionbulk,POST,https://{accountName}.purview.azure.com/catalog/api/atlas/v2/entity/bulk
Catalog Data Plane,Entity,Createuniqueattributeclassifications,pvw entity createUniqueAttributeClassifications --typeName=<val> --qualifiedName=<val> --payloadFile=<val>,Create a new entity.,https://docs.microsoft.com/en-us/rest/api/purview/catalogdataplane/entity/createuniqueattributeclassifications,POST,https://{accountName}.purview.azure.com/catalog/api/atlas/v2/entity/uniqueAttribute
Catalog Data Plane,Entity,Delete,pvw entity delete --guid=<val>,Delete entity.,https://docs.microsoft.com/en-us/rest/api/purview/catalogdataplane/entity/delete,DELETE,https://{accountName}.purview.azure.com/catalog/api/atlas/v2/entity/delete
Catalog Data Plane,Entity,Deletebulk,pvw entity deleteBulk --guid=<val>...,Delete entity.,https://docs.microsoft.com/en-us/rest/api/purview/catalogdataplane/entity/deletebulk,DELETE,https://{accountName}.purview.azure.com/catalog/api/atlas/v2/entity/bulk
Catalog Data Plane,Entity,Deletebusinessattribute,pvw entity deleteBusinessAttribute --guid=<val> --bmName=<val> --payloadFile=<val>,Delete entity.,https://docs.microsoft.com/en-us/rest/api/purview/catalogdataplane/entity/deletebusinessattribute,DELETE,https://{accountName}.purview.azure.com/catalog/api/atlas/v2/entity/deleteBusinessAttribute
Catalog Data Plane,Entity,Deletebusinessmetadata,pvw entity deleteBusinessMetadata --guid=<val> --payloadFile=<val>,Delete entity.,https://docs.microsoft.com/en-us/rest/api/purview/catalogdataplane/entity/deletebusinessmetadata,DELETE,https://{accountName}.purview.azure.com/catalog/api/atlas/v2/entity/businessmetadata
Catalog Data Plane,Entity,Deleteclassification,pvw entity deleteClassification --guid=<val> --classificationName=<val>,Delete entity.,https://docs.microsoft.com/en-us/rest/api/purview/catalogdataplane/entity/deleteclassification,DELETE,https://{accountName}.purview.azure.com/catalog/api/atlas/v2/entity/classification
Catalog Data Plane,Entity,Deletelabels,pvw entity deleteLabels --guid=<val> --payloadFile=<val>,Delete entity.,https://docs.microsoft.com/en-us/rest/api/purview/catalogdataplane/entity/deletelabels,DELETE,https://{accountName}.purview.azure.com/catalog/api/atlas/v2/entity/labels
Catalog Data Plane,Entity,Deletelabelsbyuniqueattribute,pvw entity deleteLabelsByUniqueAttribute --typeName=<val> --qualifiedName=<val> --payloadFile=<val>,Delete entity.,https://docs.microsoft.com/en-us/rest/api/purview/catalogdataplane/entity/deletelabelsbyuniqueattribute,DELETE,https://{accountName}.purview.azure.com/catalog/api/atlas/v2/entity/uniqueAttribute
Catalog Data Plane,Entity,Deleteuniqueattribute,pvw entity deleteUniqueAttribute --typeName=<val> --qualifiedName=<val>,Delete entity.,https://docs.microsoft.com/en-us/rest/api/purview/catalogdataplane/entity/deleteuniqueattribute,DELETE,https://{accountName}.purview.azure.com/catalog/api/atlas/v2/entity/uniqueAttribute
Catalog Data Plane,Entity,Deleteuniqueattributeclassification,pvw entity deleteUniqueAttributeClassification --typeName=<val> --qualifiedName=<val> --classificationName=<val>,Delete entity.,https://docs.microsoft.com/en-us/rest/api/purview/catalogdataplane/entity/deleteuniqueattributeclassification,DELETE,https://{accountName}.purview.azure.com/catalog/api/atlas/v2/entity/uniqueAttribute
Catalog Data Plane,Entity,Getbusinessmetadatatemplate,pvw entity getBusinessMetadataTemplate,Get entity.,https://docs.microsoft.com/en-us/rest/api/purview/catalogdataplane/entity/getbusinessmetadatatemplate,GET,https://{accountName}.purview.azure.com/catalog/api/atlas/v2/entity/businessmetadata
Catalog Data Plane,Entity,Importbusinessmetadata,pvw entity importBusinessMetadata --bmFile=<val>,Import entity.,https://docs.microsoft.com/en-us/rest/api/purview/catalogdataplane/entity/importbusinessmetadata,POST,https://{accountName}.purview.azure.com/catalog/api/atlas/v2/entity/businessmetadata
Catalog Data Plane,Entity,Put,pvw entity put --guid=<val> --attrName=<val> --attrValue=<val>,Create or update entity.,https://docs.microsoft.com/en-us/rest/api/purview/catalogdataplane/entity/put,PUT,https://{accountName}.purview.azure.com/catalog/api/atlas/v2/entity/put
Catalog Data Plane,Entity,Putclassifications,pvw entity putClassifications --guid=<val> --payloadFile=<val>,Create or update entity.,https://docs.microsoft.com/en-us/rest/api/purview/catalogdataplane/entity/putclassifications,PUT,https://{accountName}.purview.azure.com/catalog/api/atlas/v2/entity/classification
Catalog Data Plane,Entity,Putuniqueattribute,pvw entity putUniqueAttribute --typeName=<val> --qualifiedName=<val> --payloadFile=<val>,Create or update entity.,https://docs.microsoft.com/en-us/rest/api/purview/catalogdataplane/entity/putuniqueattribute,PUT,https://{accountName}.purview.azure.com/catalog/api/atlas/v2/entity/uniqueAttribute
Catalog Data Plane,Entity,Putuniqueattributeclassifications,pvw entity putUniqueAttributeClassifications --typeName=<val> --qualifiedName=<val> --payloadFile=<val>,Create or update entity.,https://docs.microsoft.com/en-us/rest/api/purview/catalogdataplane/entity/putuniqueattributeclassifications,PUT,https://{accountName}.purview.azure.com/catalog/api/atlas/v2/entity/uniqueAttribute
Catalog Data Plane,Entity,Read,pvw entity read --guid=<val> [--ignoreRelationships --minExtInfo],Retrieve entity.,https://docs.microsoft.com/en-us/rest/api/purview/catalogdataplane/entity/read,GET,https://{accountName}.purview.azure.com/catalog/api/atlas/v2/entity/read
Catalog Data Plane,Entity,Readbulk,pvw entity readBulk --guid=<val>... [--ignoreRelationships --minExtInfo],Retrieve entity.,https://docs.microsoft.com/en-us/rest/api/purview/catalogdataplane/entity/readbulk,GET,https://{accountName}.purview.azure.com/catalog/api/atlas/v2/entity/bulk
Catalog Data Plane,Entity,Readbulkuniqueattribute,pvw entity readBulkUniqueAttribute --typeName=<val> --qualifiedName=<val>... [--ignoreRelationships --minExtInfo],Retrieve entity.,https://docs.microsoft.com/en-us/rest/api/purview/catalogdataplane/entity/readbulkuniqueattribute,GET,https://{accountName}.purview.azure.com/catalog/api/atlas/v2/entity/bulk
Catalog Data Plane,Entity,Readclassification,pvw entity readClassification --guid=<val> --classificationName=<val>,Retrieve entity.,https://docs.microsoft.com/en-us/rest/api/purview/catalogdataplane/entity/readclassification,GET,https://{accountName}.purview.azure.com/catalog/api/atlas/v2/entity/classification
Catalog Data Plane,Entity,Readclassifications,pvw entity readClassifications --guid=<val>,Retrieve entity.,https://docs.microsoft.com/en-us/rest/api/purview/catalogdataplane/entity/readclassifications,GET,https://{accountName}.purview.azure.com/catalog/api/atlas/v2/entity/classification
Catalog Data Plane,Entity,Readheader,pvw entity readHeader --guid=<val>,Retrieve entity.,https://docs.microsoft.com/en-us/rest/api/purview/catalogdataplane/entity/readheader,GET,https://{accountName}.purview.azure.com/catalog/api/atlas/v2/entity/readHeader
Catalog Data Plane,Entity,Readuniqueattribute,pvw entity readUniqueAttribute --typeName=<val> --qualifiedName=<val> [--ignoreRelationships --minExtInfo],Retrieve entity.,https://docs.microsoft.com/en-us/rest/api/purview/catalogdataplane/entity/readuniqueattribute,GET,https://{accountName}.purview.azure.com/catalog/api/atlas/v2/entity/uniqueAttribute
Catalog Data Plane,Entity,Setlabels,pvw entity setLabels --guid=<val> --payloadFile=<val>,Set Labels for entity.,https://docs.microsoft.com/en-us/rest/api/purview/catalogdataplane/entity/setlabels,POST,https://{accountName}.purview.azure.com/catalog/api/atlas/v2/entity/labels
Catalog Data Plane,Entity,Setlabelsbyuniqueattribute,pvw entity setLabelsByUniqueAttribute --typeName=<val> --qualifiedName=<val> --payloadFile=<val>,Set LabelsByUniqueAttribute for entity.,https://docs.microsoft.com/en-us/rest/api/purview/catalogdataplane/entity/setlabelsbyuniqueattribute,POST,https://{accountName}.purview.azure.com/catalog/api/atlas/v2/entity/uniqueAttribute
Catalog Data Plane,Glossary,Create,pvw glossary create --payloadFile=<val>,Create a new glossary term or category.,https://docs.microsoft.com/en-us/rest/api/purview/catalogdataplane/glossary/create,POST,https://{accountName}.purview.azure.com/catalog/api/atlas/v2/glossary/create
Catalog Data Plane,Glossary,Createcategories,pvw glossary createCategories --payloadFile=<val>,Create a new glossary term or category.,https://docs.microsoft.com/en-us/rest/api/purview/catalogdataplane/glossary/createcategories,POST,https://{accountName}.purview.azure.com/catalog/api/atlas/v2/glossary/createCategories
Catalog Data Plane,Glossary,Createcategory,pvw glossary createCategory --payloadFile=<val>,Create a new glossary term or category.,https://docs.microsoft.com/en-us/rest/api/purview/catalogdataplane/glossary/createcategory,POST,https://{accountName}.purview.azure.com/catalog/api/atlas/v2/glossary/createCategory
Catalog Data Plane,Glossary,Createterm,pvw glossary createTerm --payloadFile=<val> [--includeTermHierarchy],Create a new glossary term or category.,https://docs.microsoft.com/en-us/rest/api/purview/catalogdataplane/glossary/createterm,POST,https://{accountName}.purview.azure.com/catalog/api/atlas/v2/glossary/createTerm
Catalog Data Plane,Glossary,Createterms,pvw glossary createTerms --payloadFile=<val> [--includeTermHierarchy],Create a new glossary term or category.,https://docs.microsoft.com/en-us/rest/api/purview/catalogdataplane/glossary/createterms,POST,https://{accountName}.purview.azure.com/catalog/api/atlas/v2/glossary/createTerms
Catalog Data Plane,Glossary,Createtermsassignedentities,pvw glossary createTermsAssignedEntities --termGuid=<val> --payloadFile=<val>,Create a new glossary term or category.,https://docs.microsoft.com/en-us/rest/api/purview/catalogdataplane/glossary/createtermsassignedentities,POST,https://{accountName}.purview.azure.com/catalog/api/atlas/v2/glossary/createTermsAssignedEntities
Catalog Data Plane,Glossary,Createtermsexport,pvw glossary createTermsExport --glossaryGuid=<val> --termGuid=<val>... [--includeTermHierarchy],Create a new glossary term or category.,https://docs.microsoft.com/en-us/rest/api/purview/catalogdataplane/glossary/createtermsexport,POST,https://{accountName}.purview.azure.com/catalog/api/atlas/v2/glossary/createTermsExport
Catalog Data Plane,Glossary,Createtermsimport,pvw glossary createTermsImport --glossaryFile=<val> [--glossaryGuid=<val> --includeTermHierarchy],Create a new glossary term or category.,https://docs.microsoft.com/en-us/rest/api/purview/catalogdataplane/glossary/createtermsimport,POST,https://{accountName}.purview.azure.com/catalog/api/atlas/v2/glossary/createTermsImport
Catalog Data Plane,Glossary,Delete,pvw glossary delete --glossaryGuid=<val>,Delete glossary term or category.,https://docs.microsoft.com/en-us/rest/api/purview/catalogdataplane/glossary/delete,DELETE,https://{accountName}.purview.azure.com/catalog/api/atlas/v2/glossary/delete
Catalog Data Plane,Glossary,Deletecategory,pvw glossary deleteCategory --categoryGuid=<val>,Delete glossary term or category.,https://docs.microsoft.com/en-us/rest/api/purview/catalogdataplane/glossary/deletecategory,DELETE,https://{accountName}.purview.azure.com/catalog/api/atlas/v2/glossary/deleteCategory
Catalog Data Plane,Glossary,Deleteterm,pvw glossary deleteTerm --termGuid=<val>,Delete glossary term or category.,https://docs.microsoft.com/en-us/rest/api/purview/catalogdataplane/glossary/deleteterm,DELETE,https://{accountName}.purview.azure.com/catalog/api/atlas/v2/glossary/deleteTerm
Catalog Data Plane,Glossary,Deletetermsassignedentities,pvw glossary deleteTermsAssignedEntities --termGuid=<val> --payloadFile=<val>,Delete glossary term or category.,https://docs.microsoft.com/en-us/rest/api/purview/catalogdataplane/glossary/deletetermsassignedentities,DELETE,https://{accountName}.purview.azure.com/catalog/api/atlas/v2/glossary/deleteTermsAssignedEntities
Catalog Data Plane,Glossary,Put,pvw glossary put --glossaryGuid=<val> --payloadFile=<val>,Create or update glossary term or category.,https://docs.microsoft.com/en-us/rest/api/purview/catalogdataplane/glossary/put,PUT,https://{accountName}.purview.azure.com/catalog/api/atlas/v2/glossary/put
Catalog Data Plane,Glossary,Putcategory,pvw glossary putCategory --categoryGuid=<val> --payloadFile=<val>,Create or update glossary term or category.,https://docs.microsoft.com/en-us/rest/api/purview/catalogdataplane/glossary/putcategory,PUT,https://{accountName}.purview.azure.com/catalog/api/atlas/v2/glossary/putCategory
Catalog Data Plane,Glossary,Putcategorypartial,pvw glossary putCategoryPartial --categoryGuid=<val> --payloadFile=<val>,Create or update glossary term or category.,https://docs.microsoft.com/en-us/rest/api/purview/catalogdataplane/glossary/putcategorypartial,PUT,https://{accountName}.purview.azure.com/catalog/api/atlas/v2/glossary/putCategoryPartial
Catalog Data Plane,Glossary,Putpartial,pvw glossary putPartial --glossaryGuid=<val> --payloadFile=<val> [--includeTermHierarchy],Create or update glossary term or category.,https://docs.microsoft.com/en-us/rest/api/purview/catalogdataplane/glossary/putpartial,PUT,https://{accountName}.purview.azure.com/catalog/api/atlas/v2/glossary/putPartial
Catalog Data Plane,Glossary,Putterm,pvw glossary putTerm --termGuid=<val> --payloadFile=<val> [--includeTermHierarchy],Create or update glossary term or category.,https://docs.microsoft.com/en-us/rest/api/purview/catalogdataplane/glossary/putterm,PUT,https://{accountName}.purview.azure.com/catalog/api/atlas/v2/glossary/putTerm
Catalog Data Plane,Glossary,Puttermpartial,pvw glossary putTermPartial --termGuid=<val> --payloadFile=<val> [--includeTermHierarchy],Create or update glossary term or category.,https://docs.microsoft.com/en-us/rest/api/purview/catalogdataplane/glossary/puttermpartial,PUT,https://{accountName}.purview.azure.com/catalog/api/atlas/v2/glossary/putTermPartial
Catalog Data Plane,Glossary,Puttermsassignedentities,pvw glossary putTermsAssignedEntities --termGuid=<val> --payloadFile=<val>,Create or update glossary term or category.,https://docs.microsoft.com/en-us/rest/api/purview/catalogdataplane/glossary/puttermsassignedentities,PUT,https://{accountName}.purview.azure.com/catalog/api/atlas/v2/glossary/putTermsAssignedEntities
Catalog Data Plane,Glossary,Read,pvw glossary read [--glossaryGuid=<val> --limit=<val> --offset=<val> --sort=<val> --ignoreTermsAndCategories],Retrieve glossary term or category.,https://docs.microsoft.com/en-us/rest/api/purview/catalogdataplane/glossary/read,GET,https://{accountName}.purview.azure.com/catalog/api/atlas/v2/glossary/read
