H1,H2,H3,Syntax,Description,Doc,Method,Endpoint
Scanning Data Plane,Scan,Putdatasource,pvw scan putDataSource --dataSourceName=<val> --payloadFile=<val>,Create or update data source scan.,https://docs.microsoft.com/en-us/rest/api/purview/scanningdataplane/putdatasource,PUT,https://{accountName}.purview.azure.com/scan/api/putDataSource
Scanning Data Plane,Scan,Putfilter,pvw scan putFilter --dataSourceName=<val> --scanName=<val> --payloadFile=<val>,Create or update data source scan.,https://docs.microsoft.com/en-us/rest/api/purview/scanningdataplane/putfilter,PUT,https://{accountName}.purview.azure.com/scan/api/putFilter
Scanning Data Plane,Scan,Putkeyvault,pvw scan putKeyVault --keyVaultName=<val> --payloadFile=<val>,Create or update data source scan.,https://docs.microsoft.com/en-us/rest/api/purview/scanningdataplane/putkeyvault,PUT,https://{accountName}.purview.azure.com/scan/api/putKeyVault
Scanning Data Plane,Scan,Putscan,pvw scan putScan --dataSourceName=<val> --scanName=<val> --payloadFile=<val>,Create or update data source scan.,https://docs.microsoft.com/en-us/rest/api/purview/scanningdataplane/putscan,PUT,https://{accountName}.purview.azure.com/scan/api/putScan
Scanning Data Plane,Scan,Putscanruleset,pvw scan putScanRuleset --scanRulesetName=<val> --payloadFile=<val>,Create or update data source scan.,https://docs.microsoft.com/en-us/rest/api/purview/scanningdataplane/putscanruleset,PUT,https://{accountName}.purview.azure.com/scan/api/putScanRuleset
Scanning Data Plane,Scan,Puttrigger,pvw scan putTrigger --dataSourceName=<val> --scanName=<val> --payloadFile=<val>,Create or update data source scan.,https://docs.microsoft.com/en-us/rest/api/purview/scanningdataplane/puttrigger,PUT,https://{accountName}.purview.azure.com/scan/api/putTrigger
Scanning Data Plane,Scan,Readclassificationrule,pvw scan readClassificationRule --classificationRuleName=<val>,Retrieve data source scan.,https://docs.microsoft.com/en-us/rest/api/purview/scanningdataplane/readclassificationrule,GET,https://{accountName}.purview.azure.com/scan/api/readClassificationRule
Scanning Data Plane,Scan,Readclassificationrules,pvw scan readClassificationRules,Retrieve data source scan.,https://docs.microsoft.com/en-us/rest/api/purview/scanningdataplane/readclassificationrules,GET,https://{accountName}.purview.azure.com/scan/api/readClassificationRules
Scanning Data Plane,Scan,Readclassificationruleversions,pvw scan readClassificationRuleVersions --classificationRuleName=<val>,Retrieve data source scan.,https://docs.microsoft.com/en-us/rest/api/purview/scanningdataplane/readclassificationruleversions,GET,https://{accountName}.purview.azure.com/scan/api/readClassificationRuleVersions
Scanning Data Plane,Scan,Readcredential,pvw scan readCredential [--credentialName=<val>],Retrieve data source scan.,https://docs.microsoft.com/en-us/rest/api/purview/scanningdataplane/readcredential,GET,https://{accountName}.purview.azure.com/scan/api/readCredential
Scanning Data Plane,Scan,Readdatasource,pvw scan readDataSource --dataSourceName=<val>,Retrieve data source scan.,https://docs.microsoft.com/en-us/rest/api/purview/scanningdataplane/readdatasource,GET,https://{accountName}.purview.azure.com/scan/api/readDataSource
Scanning Data Plane,Scan,Readdatasources,pvw scan readDataSources [--collectionName=<val>],Retrieve data source scan.,https://docs.microsoft.com/en-us/rest/api/purview/scanningdataplane/readdatasources,GET,https://{accountName}.purview.azure.com/scan/api/readDataSources
Scanning Data Plane,Scan,Readfilters,pvw scan readFilters --dataSourceName=<val> --scanName=<val>,Retrieve data source scan.,https://docs.microsoft.com/en-us/rest/api/purview/scanningdataplane/readfilters,GET,https://{accountName}.purview.azure.com/scan/api/readFilters
Scanning Data Plane,Scan,Readkeyvault,pvw scan readKeyVault --keyVaultName=<val>,Retrieve data source scan.,https://docs.microsoft.com/en-us/rest/api/purview/scanningdataplane/readkeyvault,GET,https://{accountName}.purview.azure.com/scan/api/readKeyVault
Scanning Data Plane,Scan,Readkeyvaults,pvw scan readKeyVaults,Retrieve data source scan.,https://docs.microsoft.com/en-us/rest/api/purview/scanningdataplane/readkeyvaults,GET,https://{accountName}.purview.azure.com/scan/api/readKeyVaults
Scanning Data Plane,Scan,Readscan,pvw scan readScan --dataSourceName=<val> --scanName=<val>,Retrieve data source scan.,https://docs.microsoft.com/en-us/rest/api/purview/scanningdataplane/readscan,GET,https://{accountName}.purview.azure.com/scan/api/readScan
Scanning Data Plane,Scan,Readscanhistory,pvw scan readScanHistory --dataSourceName=<val> --scanName=<val>,Retrieve data source scan.,https://docs.microsoft.com/en-us/rest/api/purview/scanningdataplane/readscanhistory,GET,https://{accountName}.purview.azure.com/scan/api/readScanHistory
Scanning Data Plane,Scan,Readscanruleset,pvw scan readScanRuleset --scanRulesetName=<val>,Retrieve data source scan.,https://docs.microsoft.com/en-us/rest/api/purview/scanningdataplane/readscanruleset,GET,https://{accountName}.purview.azure.com/scan/api/readScanRuleset
Scanning Data Plane,Scan,Readscanrulesets,pvw scan readScanRulesets,Retrieve data source scan.,https://docs.microsoft.com/en-us/rest/api/purview/scanningdataplane/readscanrulesets,GET,https://{accountName}.purview.azure.com/scan/api/readScanRulesets
Scanning Data Plane,Scan,Readscans,pvw scan readScans --dataSourceName=<val>,Retrieve data source scan.,https://docs.microsoft.com/en-us/rest/api/purview/scanningdataplane/readscans,GET,https://{accountName}.purview.azure.com/scan/api/readScans
Scanning Data Plane,Scan,Readsystemscanruleset,pvw scan readSystemScanRuleset --dataSourceType=<val>,Retrieve data source scan.,https://docs.microsoft.com/en-us/rest/api/purview/scanningdataplane/readsystemscanruleset,GET,https://{accountName}.purview.azure.com/scan/api/readSystemScanRuleset
Scanning Data Plane,Scan,Readsystemscanrulesetlatest,pvw scan readSystemScanRulesetLatest --dataSourceType=<val>,Retrieve data source scan.,https://docs.microsoft.com/en-us/rest/api/purview/scanningdataplane/readsystemscanrulesetlatest,GET,https://{accountName}.purview.azure.com/scan/api/readSystemScanRulesetLatest
Scanning Data Plane,Scan,Readsystemscanrulesets,pvw scan readSystemScanRulesets,Retrieve data source scan.,https://docs.microsoft.com/en-us/rest/api/purview/scanningdataplane/readsystemscanrulesets,GET,https://{accountName}.purview.azure.com/scan/api/readSystemScanRulesets
Scanning Data Plane,Scan,Readsystemscanrulesetversion,pvw scan readSystemScanRulesetVersion --version=<val> --dataSourceType=<val>,Retrieve data source scan.,https://docs.microsoft.com/en-us/rest/api/purview/scanningdataplane/readsystemscanrulesetversion,GET,https://{accountName}.purview.azure.com/scan/api/readSystemScanRulesetVersion
Scanning Data Plane,Scan,Readsystemscanrulesetversions,pvw scan readSystemScanRulesetVersions --dataSourceType=<val>,Retrieve data source scan.,https://docs.microsoft.com/en-us/rest/api/purview/scanningdataplane/readsystemscanrulesetversions,GET,https://{accountName}.purview.azure.com/scan/api/readSystemScanRulesetVersions
Scanning Data Plane,Scan,Readtrigger,pvw scan readTrigger --dataSourceName=<val> --scanName=<val>,Retrieve data source scan.,https://docs.microsoft.com/en-us/rest/api/purview/scanningdataplane/readtrigger,GET,https://{accountName}.purview.azure.com/scan/api/readTrigger
Scanning Data Plane,Scan,Runscan,pvw scan runScan --dataSourceName=<val> --scanName=<val> [--scanLevel=<val>],Execute data source scan.,https://docs.microsoft.com/en-us/rest/api/purview/scanningdataplane/runscan,POST,https://{accountName}.purview.azure.com/scan/api/runScan
Scanning Data Plane,Scan,Tagclassificationversion,pvw scan tagClassificationVersion --classificationRuleName=<val> --classificationRuleVersion=<val> --action=<val>,Perform operation on data source scan.,https://docs.microsoft.com/en-us/rest/api/purview/scanningdataplane/tagclassificationversion,POST,https://{accountName}.purview.azure.com/scan/api/tagClassificationVersion
Discovery Data Plane,Search,Autocomplete,pvw search autoComplete [--keywords=<val> --limit=<val> --filterFile=<val>],Perform operation on catalog.,https://docs.microsoft.com/en-us/rest/api/purview/catalogdataplane/discovery/autocomplete,GET,https://{accountName}.purview.azure.com/catalog/api/search/autoComplete
Discovery Data Plane,Search,Browse,pvw search browse  (--entityType=<val> | --path=<val>) [--limit=<val> --offset=<val>],Browse catalog.,https://docs.microsoft.com/en-us/rest/api/purview/catalogdataplane/discovery/browse,GET,https://{accountName}.purview.azure.com/catalog/api/search/browse
Discovery Data Plane,Search,Query,pvw search query [--keywords=<val> --limit=<val> --offset=<val> --filterFile=<val> --facets-file=<val>],Query catalog.,https://docs.microsoft.com/en-us/rest/api/purview/catalogdataplane/discovery/query,GET,https://{accountName}.purview.azure.com/catalog/api/search/query
Discovery Data Plane,Search,Suggest,pvw search suggest [--keywords=<val> --limit=<val> --filterFile=<val>],Get suggestions for catalog.,https://docs.microsoft.com/en-us/rest/api/purview/catalogdataplane/discovery/suggest,GET,https://{accountName}.purview.azure.com/catalog/api/search/suggest
Share Data Plane,Share,Activateemail,pvw share activateEmail --payloadFile=<val>,Activate data share.,https://docs.microsoft.com/en-us/rest/api/purview/share/activateemail,POST,https://{accountName}.purview.azure.com/share/api/activateEmail
Share Data Plane,Share,Createasset,pvw share createAsset --sentShareName=<val> --assetName=<val> --payloadFile=<val>,Create a new data share.,https://docs.microsoft.com/en-us/rest/api/purview/share/createasset,POST,https://{accountName}.purview.azure.com/share/api/createAsset
Share Data Plane,Share,Createassetmapping,pvw share createAssetMapping --receivedShareName=<val> --assetMappingName=<val> --payloadFile=<val>,Create a new data share.,https://docs.microsoft.com/en-us/rest/api/purview/share/createassetmapping,POST,https://{accountName}.purview.azure.com/share/api/createAssetMapping
Share Data Plane,Share,Createreceivedshare,pvw share createReceivedShare --receivedShareName=<val> --payloadFile=<val>,Create a new data share.,https://docs.microsoft.com/en-us/rest/api/purview/share/createreceivedshare,POST,https://{accountName}.purview.azure.com/share/api/createReceivedShare
Share Data Plane,Share,Createsentinvitation,pvw share createSentInvitation --sentShareName=<val> --invitationName=<val> --payloadFile=<val>,Create a new data share.,https://docs.microsoft.com/en-us/rest/api/purview/share/createsentinvitation,POST,https://{accountName}.purview.azure.com/share/api/createSentInvitation
Share Data Plane,Share,Createsentshare,pvw share createSentShare --sentShareName=<val> --payloadFile=<val>,Create a new data share.,https://docs.microsoft.com/en-us/rest/api/purview/share/createsentshare,POST,https://{accountName}.purview.azure.com/share/api/createSentShare
Share Data Plane,Share,Deleteasset,pvw share deleteAsset --sentShareName=<val> --assetName=<val>,Delete data share.,https://docs.microsoft.com/en-us/rest/api/purview/share/deleteasset,DELETE,https://{accountName}.purview.azure.com/share/api/deleteAsset
Share Data Plane,Share,Deleteassetmapping,pvw share deleteAssetMapping --receivedShareName=<val> --assetMappingName=<val>,Delete data share.,https://docs.microsoft.com/en-us/rest/api/purview/share/deleteassetmapping,DELETE,https://{accountName}.purview.azure.com/share/api/deleteAssetMapping
Share Data Plane,Share,Deletereceivedshare,pvw share deleteReceivedShare --receivedShareName=<val>,Delete data share.,https://docs.microsoft.com/en-us/rest/api/purview/share/deletereceivedshare,DELETE,https://{accountName}.purview.azure.com/share/api/deleteReceivedShare
Share Data Plane,Share,Deletesentinvitation,pvw share deleteSentInvitation --sentShareName=<val> --invitationName=<val>,Delete data share.,https://docs.microsoft.com/en-us/rest/api/purview/share/deletesentinvitation,DELETE,https://{accountName}.purview.azure.com/share/api/deleteSentInvitation
Share Data Plane,Share,Deletesentshare,pvw share deleteSentShare --sentShareName=<val>,Delete data share.,https://docs.microsoft.com/en-us/rest/api/purview/share/deletesentshare,DELETE,https://{accountName}.purview.azure.com/share/api/deleteSentShare
Share Data Plane,Share,Getacceptedshare,pvw share getAcceptedShare --sentShareName=<val> --acceptedSentShareName=<val>,Get data share.,https://docs.microsoft.com/en-us/rest/api/purview/share/getacceptedshare,GET,https://{accountName}.purview.azure.com/share/api/getAcceptedShare
Share Data Plane,Share,Getasset,pvw share getAsset --sentShareName=<val> --assetName=<val>,Get data share.,https://docs.microsoft.com/en-us/rest/api/purview/share/getasset,GET,https://{accountName}.purview.azure.com/share/api/getAsset
Share Data Plane,Share,Getassetmapping,pvw share getAssetMapping --receivedShareName=<val> --assetMappingName=<val>,Get data share.,https://docs.microsoft.com/en-us/rest/api/purview/share/getassetmapping,GET,https://{accountName}.purview.azure.com/share/api/getAssetMapping
Share Data Plane,Share,Getreceivedinvitation,pvw share getReceivedInvitation --invitationName=<val>,Get data share.,https://docs.microsoft.com/en-us/rest/api/purview/share/getreceivedinvitation,GET,https://{accountName}.purview.azure.com/share/api/getReceivedInvitation
Share Data Plane,Share,Getreceivedshare,pvw share getReceivedShare --receivedShareName=<val>,Get data share.,https://docs.microsoft.com/en-us/rest/api/purview/share/getreceivedshare,GET,https://{accountName}.purview.azure.com/share/api/getReceivedShare
Share Data Plane,Share,Getsentinvitation,pvw share getSentInvitation --sentShareName=<val> --invitationName=<val>,Get data share.,https://docs.microsoft.com/en-us/rest/api/purview/share/getsentinvitation,GET,https://{accountName}.purview.azure.com/share/api/getSentInvitation
Share Data Plane,Share,Getsentshare,pvw share getSentShare --sentShareName=<val>,Get data share.,https://docs.microsoft.com/en-us/rest/api/purview/share/getsentshare,GET,https://{accountName}.purview.azure.com/share/api/getSentShare
Share Data Plane,Share,Listacceptedshares,pvw share listAcceptedShares --sentShareName=<val> [--skipToken=<val>],List all data shares.,https://docs.microsoft.com/en-us/rest/api/purview/share/listacceptedshares,GET,https://{accountName}.purview.azure.com/share/api/listAcceptedShares
Share Data Plane,Share,Listassetmappings,pvw share listAssetMappings --receivedShareName=<val> [--skipToken=<val> --filter=<val> --orderBy=<val>],List all data shares.,https://docs.microsoft.com/en-us/rest/api/purview/share/listassetmappings,GET,https://{accountName}.purview.azure.com/share/api/listAssetMappings
Share Data Plane,Share,Listassets,pvw share listAssets --sentShareName=<val> [--skipToken=<val> --filter=<val> --orderBy=<val>],List all data shares.,https://docs.microsoft.com/en-us/rest/api/purview/share/listassets,GET,https://{accountName}.purview.azure.com/share/api/listAssets
Share Data Plane,Share,Listreceivedassets,pvw share listReceivedAssets --receivedShareName=<val> [--skipToken=<val>],List all data shares.,https://docs.microsoft.com/en-us/rest/api/purview/share/listreceivedassets,GET,https://{accountName}.purview.azure.com/share/api/listReceivedAssets
Share Data Plane,Share,Listreceivedinvitations,pvw share listReceivedInvitations [--skipToken=<val> --filter=<val> --orderBy=<val>],List all data shares.,https://docs.microsoft.com/en-us/rest/api/purview/share/listreceivedinvitations,GET,https://{accountName}.purview.azure.com/share/api/listReceivedInvitations
Share Data Plane,Share,Listreceivedshares,pvw share listReceivedShares [--skipToken=<val> --filter=<val> --orderBy=<val>],List all data shares.,https://docs.microsoft.com/en-us/rest/api/purview/share/listreceivedshares,GET,https://{accountName}.purview.azure.com/share/api/listReceivedShares
Share Data Plane,Share,Listsentinvitations,pvw share listSentInvitations --sentShareName=<val> [--skipToken=<val> --filter=<val> --orderBy=<val>],List all data shares.,https://docs.microsoft.com/en-us/rest/api/purview/share/listsentinvitations,GET,https://{accountName}.purview.azure.com/share/api/listSentInvitations
Share Data Plane,Share,Listsentshares,pvw share listSentShares [--skipToken=<val> --filter=<val> --orderBy=<val>],List all data shares.,https://docs.microsoft.com/en-us/rest/api/purview/share/listsentshares,GET,https://{accountName}.purview.azure.com/share/api/listSentShares
Share Data Plane,Share,Registeremail,pvw share registerEmail,Register data share.,https://docs.microsoft.com/en-us/rest/api/purview/share/registeremail,POST,https://{accountName}.purview.azure.com/share/api/registerEmail
Share Data Plane,Share,Reinstateacceptedshare,pvw share reinstateAcceptedShare --sentShareName=<val> --acceptedSentShareName=<val> --payloadFile=<val>,Reinstate data share.,https://docs.microsoft.com/en-us/rest/api/purview/share/reinstateacceptedshare,POST,https://{accountName}.purview.azure.com/share/api/reinstateAcceptedShare
Share Data Plane,Share,Rejectreceivedinvitation,pvw share rejectReceivedInvitation --invitationName=<val> --payloadFile=<val>,Reject data share.,https://docs.microsoft.com/en-us/rest/api/purview/share/rejectreceivedinvitation,DELETE,https://{accountName}.purview.azure.com/share/api/rejectReceivedInvitation
Share Data Plane,Share,Revokeacceptedshare,pvw share revokeAcceptedShare --sentShareName=<val> --acceptedSentShareName=<val>,Revoke data share.,https://docs.microsoft.com/en-us/rest/api/purview/share/revokeacceptedshare,DELETE,https://{accountName}.purview.azure.com/share/api/revokeAcceptedShare
Share Data Plane,Share,Updateexpirationacceptedshare,pvw share updateExpirationAcceptedShare --sentShareName=<val> --acceptedSentShareName=<val> --payloadFile=<val>,Update an existing data share.,https://docs.microsoft.com/en-us/rest/api/purview/share/updateexpirationacceptedshare,PUT,https://{accountName}.purview.azure.com/share/api/updateExpirationAcceptedShare
Catalog Data Plane,Types,Createtypedefs,pvw types createTypeDefs --payloadFile=<val>,Create a new type definition.,https://docs.microsoft.com/en-us/rest/api/purview/catalogdataplane/types/createtypedefs,POST,https://{accountName}.purview.azure.com/catalog/api/atlas/v2/types/createTypeDefs
Catalog Data Plane,Types,Deletetypedef,pvw types deleteTypeDef --name=<val>,Delete type definition.,https://docs.microsoft.com/en-us/rest/api/purview/catalogdataplane/types/deletetypedef,DELETE,https://{accountName}.purview.azure.com/catalog/api/atlas/v2/types/deleteTypeDef
Catalog Data Plane,Types,Deletetypedefs,pvw types deleteTypeDefs --payloadFile=<val>,Delete type definition.,https://docs.microsoft.com/en-us/rest/api/purview/catalogdataplane/types/deletetypedefs,DELETE,https://{accountName}.purview.azure.com/catalog/api/atlas/v2/types/deleteTypeDefs
Catalog Data Plane,Types,Puttypedefs,pvw types putTypeDefs --payloadFile=<val>,Create or update type definition.,https://docs.microsoft.com/en-us/rest/api/purview/catalogdataplane/types/puttypedefs,PUT,https://{accountName}.purview.azure.com/catalog/api/atlas/v2/types/putTypeDefs
Catalog Data Plane,Types,Readbusinessmetadatadef,pvw types readBusinessMetadataDef (--guid=<val> | --name=<val>),Retrieve type definition.,https://docs.microsoft.com/en-us/rest/api/purview/catalogdataplane/types/readbusinessmetadatadef,GET,https://{accountName}.purview.azure.com/catalog/api/atlas/v2/types/readBusinessMetadataDef
Catalog Data Plane,Types,Readclassificationdef,pvw types readClassificationDef (--guid=<val> | --name=<val>),Retrieve type definition.,https://docs.microsoft.com/en-us/rest/api/purview/catalogdataplane/types/readclassificationdef,GET,https://{accountName}.purview.azure.com/catalog/api/atlas/v2/types/readClassificationDef
Catalog Data Plane,Types,Readentitydef,pvw types readEntityDef (--guid=<val> | --name=<val>),Retrieve type definition.,https://docs.microsoft.com/en-us/rest/api/purview/catalogdataplane/types/readentitydef,GET,https://{accountName}.purview.azure.com/catalog/api/atlas/v2/types/readEntityDef
Catalog Data Plane,Types,Readenumdef,pvw types readEnumDef (--guid=<val> | --name=<val>),Retrieve type definition.,https://docs.microsoft.com/en-us/rest/api/purview/catalogdataplane/types/readenumdef,GET,https://{accountName}.purview.azure.com/catalog/api/atlas/v2/types/readEnumDef
Catalog Data Plane,Types,Readrelationshipdef,pvw types readRelationshipDef (--guid=<val> | --name=<val>),Retrieve type definition.,https://docs.microsoft.com/en-us/rest/api/purview/catalogdataplane/types/readrelationshipdef,GET,https://{accountName}.purview.azure.com/catalog/api/atlas/v2/types/readRelationshipDef
Catalog Data Plane,Types,Readstatistics,pvw types readStatistics,Retrieve type definition.,https://docs.microsoft.com/en-us/rest/api/purview/catalogdataplane/types/readstatistics,GET,https://{accountName}.purview.azure.com/catalog/api/atlas/v2/types/readStatistics
Catalog Data Plane,Types,Readstructdef,pvw types readStructDef (--guid=<val> | --name=<val>),Retrieve type definition.,https://docs.microsoft.com/en-us/rest/api/purview/catalogdataplane/types/readstructdef,GET,https://{accountName}.purview.azure.com/catalog/api/atlas/v2/types/readStructDef
Catalog Data Plane,Types,Readtermtemplatedef,pvw types readTermTemplateDef (--guid=<val> | --name=<val>),Retrieve type definition.,https://docs.microsoft.com/en-us/rest/api/purview/catalogdataplane/types/readtermtemplatedef,GET,https://{accountName}.purview.azure.com/catalog/api/atlas/v2/types/readTermTemplateDef
Catalog Data Plane,Types,Readtypedef,pvw types readTypeDef (--guid=<val> | --name=<val>),Retrieve type definition.,https://docs.microsoft.com/en-us/rest/api/purview/catalogdataplane/types/readtypedef,GET,https://{accountName}.purview.azure.com/catalog/api/atlas/v2/types/readTypeDef
Catalog Data Plane,Types,Readtypedefs,pvw types readTypeDefs [--includeTermTemplate --type=<val>],Retrieve type definition.,https://docs.microsoft.com/en-us/rest/api/purview/catalogdataplane/types/readtypedefs,GET,https://{accountName}.purview.azure.com/catalog/api/atlas/v2/types/readTypeDefs
Catalog Data Plane,Types,Readtypedefsheaders,pvw types readTypeDefsHeaders [--includeTermTemplate --type=<val>],Retrieve type definition.,https://docs.microsoft.com/en-us/rest/api/purview/catalogdataplane/types/readtypedefsheaders,GET,https://{accountName}.purview.azure.com/catalog/api/atlas/v2/types/readTypeDefsHeaders
